Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner
"Zagreb, Croatia",Junior Dos Santos,Ben Rothwell,0,0,157,77,0,0,0,0,Heavyweight,U-DEC,5,5:00,UFC Fight Night,2016-04-10 0:00:00,Junior Dos Santos
"Zagreb, Croatia",Francis Ngannou,Curtis Blaydes,0,0,36,24,0,2,0,0,Heavyweight,KO/TKO,2,5:00,UFC Fight Night,2016-04-10 0:00:00,Francis Ngannou
"Zagreb, Croatia",Jan Blachowicz,Igor Pokrajac,0,0,98,35,4,0,0,0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night,2016-04-10 0:00:00,Jan Blachowicz
"Yokohama, Kanagawa, Japan",Randy Couture,Marcus Silveira,0,0,1,1,1,1,2,1,Heavyweight,SUB Armbar,1,3:44,UFC - Ultimate Japan,1997-12-21 0:00:00,Kazushi Sakuraba
"Yokohama, Kanagawa, Japan",Vitor Belfort,Kevin Jackson,0,0,1,2,0,1,1,0,Lightweight,SUB Armbar,1,0:16,UFC - Ultimate Japan,1997-12-21 0:00:00,Frank Shamrock
"Yokohama, Kanagawa, Japan",Frank Shamrock,Marcus Silveira,0,0,0,4,0,1,0,1,Heavyweight,Overturned,1,1:51,UFC - Ultimate Japan,1997-12-21 0:00:00,Kazushi Sakuraba
"Winnipeg, Manitoba, Canada",Rafael Dos Anjos,Robbie Lawler,0,0,172,86,2,0,0,0,Welterweight,U-DEC,5,5:00,UFC Fight Night,2017-12-16 0:00:00,Rafael Dos Anjos
"Winnipeg, Manitoba, Canada",Glover Teixeira,Misha Cirkunov,0,0,13,21,1,0,1,0,Light Heavyweight,KO/TKO Punches,1,2:45,UFC Fight Night,2017-12-16 0:00:00,Glover Teixeira
"Winnipeg, Manitoba, Canada",Jan Blachowicz,Jared Cannonier,1,0,50,26,4,0,0,0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night,2017-12-16 0:00:00,Jan Blachowicz
"Winnipeg, Manitoba, Canada",Rashad Evans,Dan Henderson,0,0,39,40,0,0,0,0,Light Heavyweight,S-DEC,3,5:00,UFC 161,2013-06-15 0:00:00,Rashad Evans
